activityid,age,gender,autosuf,numhouseholdpersons,income,oduden,oempden,ototint,dempden,sovdrivetime,hovdrivetime,tolldrivetime,tollcostsov,tollcosthov2,tollcosthov3,walkttime,walktotransitutility,drivetotransitutility,parkingcost,parkingwalktime,sovcost,hovcost,tollcost,tourpurpose,tourmode,firststop,laststop,zerototalstops,targettripmode
3018709,6,False,2,2,1,8.30469989776611,70.1179122924805,12.0,32.2733383178711,31.2261848871816,31.2261848871816,31.2261848871816,0.0,0.0,0.0,113.844883090777,-999.0,-999.0,0.0,0.0,495.225230587787,495.225230587787,495.225230587787,0,1,False,False,False,1
8809200,6,False,2,6,3,10.1894998550415,47.538745880127,3.0,13.567156791687,30.1455687125484,30.1455687125484,30.1455687125484,0.0,0.0,0.0,106.238420019285,-999.0,-999.0,0.0,0.0,462.137116952203,462.137116952203,462.137116952203,0,1,False,False,True,1
11332534,4,False,2,1,2,13.3931999206543,21.9837589263916,4.0,51.5441093444824,24.3182320823871,24.3182320823871,24.3182320823871,0.0,0.0,0.0,78.6876839456429,-999.0,-999.0,0.0,0.0,342.291417659304,342.291417659304,342.291417659304,0,1,False,False,False,1
6130767,6,False,2,3,2,13.2740001678467,6.56895303726196,3.0,8.48000335693359,25.2670413948262,25.2670413948262,25.2670413948262,0.0,0.0,0.0,71.307144414483,-999.0,-999.0,0.0,0.0,310.186071402622,310.186071402622,310.186071402622,0,1,False,False,False,1
16693912,7,True,1,2,5,5.55889987945557,10.9191122055054,12.0,32.7052764892578,0.441289404774201,0.441289404774201,0.441289404774201,0.0,0.0,0.0,0.34819130791429,-999.0,-999.0,0.0,0.0,1.51463215622105,1.51463215622105,1.51463215622105,7,1,True,False,False,7
4909107,4,False,2,3,4,0.0790000036358833,5.33683061599731,1.0,61.0090675354004,28.445029127747,28.4355067325611,28.445029127747,0.0,0.0,0.0,110.991853594688,-999.0,-999.0,0.0,0.0,482.814552551883,482.957576899665,482.814552551883,0,1,False,False,True,1
7653435,4,False,1,4,5,9.26019954681396,22.2374572753906,4.0,230.852676391602,16.8117812565925,16.8117812565925,16.8117812565925,0.0,0.0,0.0,45.3344143319727,-999.0,-999.0,0.0,0.0,197.204698020655,197.204698020655,197.204698020655,0,5,False,False,True,1
11192338,4,False,1,4,1,5.72499990463257,28.0724544525146,12.0,20.5743503570557,24.0365159810344,24.0365159810344,24.0365159810344,0.0,0.0,0.0,97.9089076056705,-999.0,-999.0,0.0,0.0,425.903738747346,425.903738747346,425.903738747346,3,5,False,False,True,1
4751535,2,True,2,5,2,0.897700011730194,8.82392311096191,2.0,18.689582824707,5.21512857841278,5.21512857841278,5.21512857841278,0.0,0.0,0.0,18.430913692398,-999.0,-999.0,0.0,0.0,80.1744728042223,80.1744728042223,80.1744728042223,2,5,False,False,False,3
16738582,7,True,1,2,5,5.55889987945557,10.9191122055054,12.0,30.3508148193359,1.35320580981352,1.35320580981352,1.35320580981352,0.0,0.0,0.0,1.9683428057583,-999.0,-999.0,0.0,0.0,8.5622910173328,8.5622910173328,8.5622910173328,7,1,True,False,False,1
4443833,6,True,0,2,4,11.6787004470825,7.59169435501099,4.0,28.4602298736572,15.0734960049451,15.0734960049451,15.0734960049451,0.0,0.0,0.0,41.4451163831362,-999.0,-999.0,0.0,0.0,180.286252314128,180.286252314128,180.286252314128,0,1,False,False,False,1
2174041,2,False,2,4,1,11.4349002838135,23.1930923461914,6.0,23.1930923461914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,3,7,False,False,False,7
17141519,7,True,1,2,5,5.55889987945557,10.9191122055054,12.0,17.3049201965332,16.4993347363794,16.4993347363794,16.4993347363794,0.0,0.0,0.0,59.5808386038751,-1.38003333299607,-999.0,0.0,0.0,259.176642244785,259.176642244785,259.176642244785,7,3,True,False,False,3
3565624,3,False,2,7,3,16.0806007385254,6.87136650085449,13.0,7.10356378555298,21.6792229341405,21.6792229341405,21.6792229341405,0.0,0.0,0.0,79.0184574538305,-999.0,-999.0,0.0,0.0,343.730282388375,343.730282388375,343.730282388375,0,1,True,False,False,1
2374774,7,True,2,5,5,2.95190000534058,25.9088249206543,11.0,4.18005228042603,11.9209452455934,11.9209452455934,11.9209452455934,0.0,0.0,0.0,42.6968430713544,-999.0,-999.0,0.0,0.0,185.731263288503,185.731263288503,185.731263288503,0,1,False,False,True,1
