activityid,personid,modechoice
2,3,WALK
3,3,WALK
4,3,WALK
5,3,WALK
7,3,SHARED_2_HOV
8,3,SHARED_2_HOV
9,4,SHARED_2_HOV
10,4,SHARED_2_HOV
12,4,DRIVE_ALONE_FREE
13,4,DRIVE_ALONE_FREE
15,5,SCH_BUS
16,5,SCH_BUS
18,6,SHARED_3_HOV
19,6,SHARED_3_HOV
20,6,SHARED_3_HOV
21,6,SHARED_3_HOV
22,6,DRIVE_ALONE_FREE
23,6,DRIVE_ALONE_FREE
24,6,DRIVE_ALONE_FREE
25,6,DRIVE_ALONE_FREE
27,7,DRIVE_ALONE_FREE
28,7,DRIVE_ALONE_FREE
29,7,DRIVE_ALONE_FREE
30,7,DRIVE_ALONE_FREE
32,8,DRIVE_ALONE_FREE
33,8,DRIVE_ALONE_FREE
34,8,DRIVE_ALONE_FREE
35,8,DRIVE_ALONE_FREE
36,8,DRIVE_ALONE_FREE
37,8,DRIVE_ALONE_FREE
38,8,DRIVE_ALONE_FREE
39,8,DRIVE_ALONE_FREE
40,8,DRIVE_ALONE_FREE
42,10,SHARED_2_HOV
43,10,SHARED_2_HOV
45,11,SHARED_3_HOV
46,11,SHARED_3_HOV
47,13,SHARED_3_HOV
48,15,SHARED_2_HOV
49,11,SHARED_2_HOV
50,13,SHARED_3_HOV
51,15,SHARED_2_HOV
52,11,SHARED_2_HOV
53,13,SHARED_3_HOV
54,15,SHARED_2_HOV
55,11,SHARED_2_HOV
56,11,WALK
57,13,SHARED_3_HOV
58,13,SHARED_3_HOV
59,15,WALK
60,15,SHARED_2_HOV
62,12,SHARED_3_HOV
63,12,SHARED_3_HOV
64,12,SHARED_3_HOV
65,12,SHARED_2_HOV
66,12,SHARED_2_HOV
67,12,SHARED_2_HOV
69,13,SHARED_2_HOV
70,13,SHARED_2_HOV
71,13,SHARED_2_HOV
72,13,SHARED_2_HOV
74,15,SHARED_3_HOV
75,15,SHARED_3_HOV
76,15,SHARED_3_HOV
77,15,SHARED_3_HOV
78,15,SHARED_3_HOV
81,16,SHARED_2_HOV
82,16,SHARED_2_HOV
83,17,SHARED_2_HOV
84,17,SHARED_2_HOV
85,16,SHARED_2_HOV
86,16,SHARED_2_HOV
87,16,DRIVE_ALONE_FREE
88,16,SHARED_2_HOV
89,16,SHARED_2_HOV
90,16,SHARED_2_HOV
91,16,DRIVE_ALONE_FREE
92,16,SHARED_2_HOV
93,17,WALK
94,17,WALK
95,17,WALK
96,17,WALK
97,17,WALK
98,17,WALK
100,18,DRIVE_ALONE_FREE
101,18,DRIVE_ALONE_FREE
103,19,DRIVE_ALONE_FREE
104,19,WALK
105,19,SHARED_2_HOV
106,19,DRIVE_ALONE_FREE
108,20,SHARED_2_HOV
109,20,SHARED_2_HOV
110,20,DRIVE_ALONE_FREE
111,20,DRIVE_ALONE_FREE
112,20,DRIVE_ALONE_FREE
113,20,DRIVE_ALONE_FREE
114,20,SHARED_3_HOV
115,20,SHARED_3_HOV
117,21,DRIVE_ALONE_FREE
